Product ID,Product Name,Description,Price ID,Retail Price
prod_Pk9LkDFNxiPudD,Navaksha Necktie Men's  Combo,Navaksha Necktie Men's  Combo - Buy Navaksha Necktie Men's  Combo For Only Rs. 1550 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf2cJDw3WYrLo5FeL4BQa2,15
prod_Pk9L4YlstweAMw,Navaksha Necktie Men's  Combo,"Navaksha Necktie Men's  Combo
                         Price: Rs. 756
				
			Navaksha is a fast growing Brand in Fashion Accessories like Neckties, Bow Ties, Cravats, Cufflinks, Suspenders etc and co",price_1Ouf2cJDw3WYrLo54skknO5f,15
prod_Pk9LBtLDA23Wb2,Navaksha Necktie Men's  Combo,Navaksha Necktie Men's  Combo - Buy Navaksha Necktie Men's  Combo For Only Rs. 1550 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf2dJDw3WYrLo5oepQvp82,15
prod_Pk9LmH2HuCecmQ,Navaksha Necktie Men's  Combo,Navaksha Necktie Men's  Combo - Buy Navaksha Necktie Men's  Combo For Only Rs. 1550 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf2eJDw3WYrLo5saxsLamb,15
prod_Pk9LKkvObduBVx,Navaksha Necktie Men's  Combo,Navaksha Necktie Men's  Combo - Buy Navaksha Necktie Men's  Combo For Only Rs. 1550 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only at Flipkart.com,price_1Ouf2fJDw3WYrLo5gp3FUh8a,15
prod_Pk9LCmqj07LZ42,C&S Shopping Gallery Women's Leggings,"C&S Shopping Gallery Women's Leggings - Buy Green, Red, Red C&S Shopping Gallery Women's Leggings For Only Rs. 1199 Online in India. Shop Online For Apparels. Huge Collection of Branded Clothes Only a",price_1Ouf2gJDw3WYrLo5BND1kllX,12
prod_Pk9Lm5mA9OwYg8,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,"Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04 (White)
                         Price: Rs. 1,899
				
			Our signature Classic Bath Rugs are the softest and plushiest you’ll find. Candle",price_1Ouf2gJDw3WYrLo51ykiJ8SY,19
prod_Pk9LIEByKFqM8m,Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527,Buy Riva Carpets Cotton Free Bath Mat Classic Loop Shag Bathmat_RI-527 at Rs. 1799 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,price_1Ouf2hJDw3WYrLo5R0wqeSD0,18
prod_Pk9Lh2HLQ7CpRM,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,"Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04 (Green)
                         Price: Rs. 1,899
				
			Our signature Classic Bath Rugs are the softest and plushiest you’ll find. Candle",price_1Ouf2iJDw3WYrLo5GnyLsy2M,19
prod_Pk9LlP7t0Xagls,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,Buy Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04 at Rs. 1899 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,price_1Ouf2jJDw3WYrLo51EX2WNuW,19
prod_Pk9LFKRKY5l69m,Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04,Buy Riva Carpets Cotton Free Bath Mat Classic Shag Bathmat-RI-04 at Rs. 1899 at Flipkart.com. Only Genuine Products. Free Shipping. Cash On Delivery!,price_1Ouf2kJDw3WYrLo5lqmmTb3S,19
prod_Pk9LqRkCDmsIaO,Karatcraft Klytie Gold Diamond 18 K Ring,"Karatcraft Klytie Gold Diamond 18 K Ring
                         Price: Rs. 31,471
				
			Diamonds Braided in a Ring, A Fashion icons taste, this Hi-end Ring design reflects royalty. Half eternity r",price_1Ouf2kJDw3WYrLo52uxGjiAA,434
prod_Pk9LS0vhFdcuR9,Lamere Women Flats,Flipkart.com: Buy Lamere Women Flats only for Rs. 779 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,price_1Ouf2lJDw3WYrLo5kjjcGA1k,13
prod_Pk9LJerSCbFfS1,Karatcraft Klytie Gold Diamond 18 K Ring,"Karatcraft Klytie Gold Diamond 18 K Ring
                         Price: Rs. 33,519
				
			Diamonds Braided in a Ring, A Fashion icons taste, this Hi-end Ring design reflects royalty. Half eternity r",price_1Ouf2mJDw3WYrLo5VoSRfuY8,451
prod_Pk9La4nzRcG9jm,Karatcraft Robini Emerald Gold Diamond 18 K Ring,"Karatcraft Robini Emerald Gold Diamond 18 K Ring
                         Price: Rs. 33,607
				
			A Bold Emerald Ring with Diamonds that can be also customized for you. Ask for a customised Ruby rin",price_1Ouf2nJDw3WYrLo5Is0hQV5V,451
prod_Pk9LpvRJQtlwgW,Karatcraft Trilic Gold Diamond 18 K Ring,"Karatcraft Trilic Gold Diamond 18 K Ring
                         Price: Rs. 33,761
				
			Set to look like a Solitaire Diamond ring, Solitana Ring is a designer’s marvel. For the connoisseur like yo",price_1Ouf2oJDw3WYrLo5rMnFPEfF,451
prod_Pk9LhjWfwhPI8E,Allure Silver Amethyst Sterling Silver Ring,"Allure Silver Amethyst Sterling Silver Ring
                         Price: Rs. 1,899
				
			Trendy and appealing, this 925 sterling Silver Ring with Amethyst gemstone from Allure Jewellery Pvt. Ltd.",price_1Ouf2oJDw3WYrLo5yUgqmrss,30
prod_Pk9LWTTmJI92je,Kiara Jewellery Sterling Silver Swarovski Crystal Yellow Gold Ring,Kiara Jewellery Sterling Silver Swarovski Crystal Yellow Gold Ring - Buy Kiara Jewellery Sterling Silver Swarovski Crystal Yellow Gold Ring only for Rs. 1589 from Flipkart.com. Only Genuine Products. ,price_1Ouf2pJDw3WYrLo5fYX5Nh1M,30
prod_Pk9LALTDeMMq3S,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring - Buy Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacem,price_1Ouf2qJDw3WYrLo5OD7CzMFG,31
prod_Pk9LvRdtolCFby,CurVy Q Casual Butterfly Sleeve Solid Women's Top,"CurVy Q Casual Butterfly Sleeve Solid Women's Top
                         Price: Rs. 445
				
			Breathe life into your seasonal wardrobe when you wear this top from the house of CurVy Q. Made from p",price_1Ouf2rJDw3WYrLo56OKnpgBk,9
prod_Pk9LFzQpFg6Roj,Karatcraft Clariz Gold Diamond 18 K Ring,"Karatcraft Clariz Gold Diamond 18 K Ring
                         Price: Rs. 30,409
				
			A small cathedral solitaire ring design, Clariz is designed to enhance the centre piece and make it a bigger",price_1Ouf2sJDw3WYrLo5vP7oNH3P,402
prod_Pk9LTEjveFpDau,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring - Buy Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacem,price_1Ouf2sJDw3WYrLo590mBu1vZ,28
prod_Pk9LNRowMX96aH,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring - Buy Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacem,price_1Ouf2tJDw3WYrLo5iCrPrYo9,28
prod_Pk9LfcxiNifH6A,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring - Buy Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring only for Rs. 0.0 from Flipkart.com. Only Genuine Products. 30 Day Replacem,price_1Ouf2uJDw3WYrLo5Ip3PqIqG,25
prod_Pk9LrDwRTqhIes,"Majori Casual, Festive, Party Short Sleeve Floral Print Women's Top","Majori Casual, Festive, Party Short Sleeve Floral Print Women's Top
                         Price: Rs. 850
				
			A floral printed chiffon overlayer is the highlight of this top.
A floral printed ch",price_1Ouf2vJDw3WYrLo5ZW5MDSrl,9
prod_Pk9LoQznmjT2yj,Uptownie Lite Party Short Sleeve Floral Print Women's Top,Uptownie Lite Party Short Sleeve Floral Print Women's Top - Buy Navy Blue Uptownie Lite Party Short Sleeve Floral Print Women's Top For Only Rs. 999 Online in India. Shop Online For Apparels. Huge Col,price_1Ouf2wJDw3WYrLo5FFo3grEw,10
prod_Pk9LwAmLCxz3l6,Zastraa Party Full Sleeve Embroidered Women's Top,Zastraa Party Full Sleeve Embroidered Women's Top - Buy Gold Zastraa Party Full Sleeve Embroidered Women's Top For Only Rs. 2299 Online in India. Shop Online For Apparels. Huge Collection of Branded C,price_1Ouf2wJDw3WYrLo59xja88lc,22
